id,position,cricsheet_name,unique_name,batting_style,bowling_style,matchpoints_avg,cost
4846ef98,Bowler,Abdullah Mazari,Abdullah Mazari,Left-hand bat,Slow left-arm orthodox,,7
be7d715b,Allrounder,Abdul Wasi,Abdul Wasi,Right-hand bat,Legbreak,,6
9ca68676,Bowler,AM Ghazanfar,AM Ghazanfar,Right-hand bat,Right-arm offbreak,,6
5fd762d5,Bowler,Abdul Rahman,Abdul Rahman Rahmani,Right-hand bat,Right-arm fast-medium,,6
b3218c80,Opening batter,Abdul Malik,Abdul Malik,Right-hand bat,Right-arm offbreak,,8
af23265a,Unknown,Ahmed Shah Durrani,Ahmed Shah Durrani,,,,8
50930025,Wicketkeeper batter,Afsar Zazai,Afsar Zazai,Right-hand bat,,,6
2a3a3786,Bowler,Aftab Alam,Aftab Alam,Right-hand bat,Right-arm medium-fast,12.5,7
43602937,Unknown,Ahmed Shah Pakteen,Ahmed Shah Pakteen,,,,8
63500b26,Opening batter,Ahmed Shah,Ahmed Shah,Left-hand bat,Slow left-arm orthodox,4.166666667,7
dca1ac2e,Bowling allrounder,Amir Hamza,Amir Hamza,Right-hand bat,Slow left-arm orthodox,13.66666667,7
88679525,Middle-order batter,Asghar Stanikzai,Asghar Stanikzai,Right-hand bat,Right-arm medium-fast,,6
8f6dd463,Allrounder,Azmatullah Omarzai,Azmatullah Omarzai,Right-hand bat,Right-arm medium-fast,16.1097561,7
cae815a0,Unknown,Bismillah Shinwari,Bismillah Shinwari,,,,7
3b2114a5,Top-order batter,Darwish Rasooli,Darwish Rasooli,Right-hand bat,Right-arm offbreak,5.923076923,7
0439b7fb,Top-order batter,Bahir Shah,Bahir Shah,Right-hand bat,Right-arm offbreak,,6
80f81038,Bowler,Dawlat Ahmadzai,Dawlat Ahmadzai,Right-hand bat,Right-arm fast-medium,,8
1fba2ae3,Bowler,Dawlat Zadran,Dawlat Zadran,Right-hand bat,Right-arm fast-medium,,8
67b7bad4,Bowler,Fareed Ahmad,Fareed Ahmad,Left-hand bat,Left-arm fast-medium,,8
c1d0caa5,Unknown,Farooq Khan,Farooq Khan,,,,7
e9c7f0d0,Bowler,Fazalhaq Farooqi,Fazalhaq Farooqi,Right-hand bat,Left-arm fast-medium,18.96396396,7
0f2bcbe3,Unknown,Fazal Zazai,Fazal Zazai,Right-hand bat,Right-arm offbreak,,7
7c7fe471,Unknown,Fitratullah Khawari,Fitratullah Khawari,,,,6
f82540a3,Unknown,Hamim Khan,Hamim Khan,Right-hand bat,Right-arm medium,,6
0dd86d5f,Unknown,Fazal Niazai,Fazal Niazai,Right-hand bat,Right-arm medium,,8
c2a46cb4,Top-order batter,Hashmatullah Shahidi,Hashmatullah Shahidi,Left-hand bat,Right-arm offbreak,,7
9f77963a,Batting allrounder,Gulbadin Naib,Gulbadin Naib,Right-hand bat,Right-arm medium-fast,2.545454545,7
500759b6,Bowler,Hasti Gul,Hasti Gul,Right-hand bat,Right-arm medium,,6
