espn_team_id,name,nickname,abbreviation,logo,display_name,short_display_name
776161,Mis Ainak Knights,Mis Ainak Knights,MAK,https://a.espncdn.com/i/teamlogos/cricket/500/776161.png,Mis Ainak Knights,MAK
1694,East Zone Under-19s,East Zone Under-19s,EZ19,,East Zone Under-19s,EZ19
430685,Kalabagan Krira Chakra,Kalabagan Krira Chakra,KBKC,,Kalabagan Krira Chakra,KBKC
1334537,Manipal Tigers,Manipal Tigers,MT,https://a.espncdn.com/i/teamlogos/cricket/500/1334537.png,Manipal Tigers,MT
2836,Lahore Lions,Lahore Lions,Lions,,Lahore Lions,Lions
418116,Assam Cricket Association XI,Assam Cricket Association XI,,,Assam Cricket Association XI,
1089598,Munster Reds,Munster Reds,REDS,https://a.espncdn.com/i/teamlogos/cricket/500/1089598.png,Munster Reds,REDS
1118222,Durban Qalandars,Durban Qalandars,DQ,https://a.espncdn.com/i/teamlogos/cricket/500/1118222.png,Durban Qalandars,DQ
2296,Kenya Under-19s,Kenya Under-19s,KEN19,,Kenya Under-19s,KEN19
466416,Northamptonshire Under-13s,Northamptonshire Under-13s,,,Northamptonshire Under-13s,
1698,Elite C,Elite C,,,Elite C,
2939,Pakistan Cricket Academy,Pakistan Cricket Academy,PkAcd,,Pakistan Cricket Academy,PkAcd
1580,Bengal Under-16s,Bengal Under-16s,,,Bengal Under-16s,
1337,Somerset Under-17s,Somerset Under-17s,,,Somerset Under-17s,
472155,Dominica Women,Dominica Women,DOWmn,,Dominica Women,DOWmn
1943,Manipur,Manipur,MNPR,https://a.espncdn.com/i/teamlogos/cricket/500/1943.png,Manipur,MNPR
873,Cheshire,Cheshire,Chesh,,Cheshire,Chesh
1320782,Indonesia Under-19s Women,Indonesia Under-19s Women,IU19W,https://a.espncdn.com/i/teamlogos/cricket/500/1320782.png,Indonesia Under-19s Women,IU19W
1359,Surrey 2nd XI,Surrey 2nd XI,Sr2XI,https://a.espncdn.com/i/teamlogos/cricket/500/1359.png,Surrey 2nd XI,Sr2XI
2773,Karachi,Karachi,,,Karachi,
1327407,Shivamogga Strikers,Shivamogga Strikers,SS,https://a.espncdn.com/i/teamlogos/cricket/500/1327407.png,Shivamogga Strikers,SS
3134,Water and Power Development Authority,Water and Power Development Authority,WAPDA,https://a.espncdn.com/i/teamlogos/cricket/500/3134.png,Water and Power Development Authority,WAPDA
556,Sydney University,Sydney University,,,Sydney University,
2732,Gujranwala Cricket Association Under-19s,Gujranwala Cricket Association Under-19s,Guj19,,Gujranwala Cricket Association Under-19s,Guj19
297077,Essex Women,Essex Women,Esswm,,Essex Women,Esswm
1986,Oil & Natural Gas Corporation,Oil & Natural Gas Corporation,,,Oil & Natural Gas Corporation,
1248749,Pune Devils,Pune Devils,PD,https://a.espncdn.com/i/teamlogos/cricket/500/1248749.png,Pune Devils,PD
1183,Marylebone Cricket Club Women,Marylebone Cricket Club Women,MCCWM,,Marylebone Cricket Club Women,MCCWM
1487,Gibraltar Under-17s,Gibraltar Under-17s,,,Gibraltar Under-17s,
2601,Wellington A,Wellington A,,,Wellington A,
410,New South Wales Schoolboys,New South Wales Schoolboys,,,New South Wales Schoolboys,
422072,Air India Blue,Air India Blue,,,Air India Blue,
335980,Deccan Chargers,Deccan Chargers,DCH,https://a.espncdn.com/i/teamlogos/cricket/500/335980.png,Deccan Chargers,DCH
